startTime,open,high,low,close,endTime,volume
2024-09-27 03:30:49,5635683,5647994,5634495,5643312,2024-09-27 03:35:11,8.715
2024-09-27 03:35:11,5643486,5663947,5643486,5656811,2024-09-27 03:39:33,68.697
2024-09-27 03:39:33,5656647,5660513,5652684,5658606,2024-09-27 03:43:55,16.828
2024-09-27 03:43:55,5658606,5661693,5655259,5659750,2024-09-27 03:50:29,9.298
2024-09-27 03:50:29,5659750,5670536,5659750,5667571,2024-09-27 03:54:51,43.606
2024-09-27 03:54:51,5667571,5668629,5662360,5664796,2024-09-27 03:59:13,11.118
2024-09-27 03:59:13,5664623,5672478,5661502,5670536,2024-09-27 04:05:46,23.531
2024-09-27 04:05:46,5671230,5674264,5661155,5664909,2024-09-27 04:10:08,16.184
2024-09-27 04:10:08,5664909,5668802,5663236,5664814,2024-09-27 04:14:30,8.581
2024-09-27 04:14:30,5664814,5670189,5663539,5663539,2024-09-27 04:21:04,8.073
2024-09-27 04:21:04,5662811,5667762,5659941,5666010,2024-09-27 04:25:26,6.337
2024-09-27 04:25:26,5665819,5665819,5660461,5660973,2024-09-27 04:29:48,4.739
2024-09-27 04:29:48,5660843,5665689,5656517,5664467,2024-09-27 04:34:10,11.158
2024-09-27 04:34:10,5663461,5665334,5657323,5662039,2024-09-27 04:40:43,7.926
2024-09-27 04:40:43,5662568,5667588,5661849,5663912,2024-09-27 04:45:05,8.152
2024-09-27 04:45:05,5664632,5667415,5660115,5660878,2024-09-27 04:49:28,9.069
2024-09-27 04:49:28,5660878,5663108,5655862,5659780,2024-09-27 04:56:01,6.171
2024-09-27 04:56:01,5658974,5660048,5656547,5658662,2024-09-27 05:00:23,3.206
2024-09-27 05:00:23,5658662,5658662,5652234,5657495,2024-09-27 05:04:45,9.493
2024-09-27 05:04:45,5656983,5659167,5655423,5658023,2024-09-27 05:09:07,4.028
2024-09-27 05:09:07,5656535,5660703,5655678,5655678,2024-09-27 05:15:40,12.668
2024-09-27 05:15:40,5655678,5656865,5648833,5650999,2024-09-27 05:20:03,6.286
2024-09-27 05:20:03,5650999,5654176,5648779,5650182,2024-09-27 05:24:25,7.302
2024-09-27 05:24:25,5649671,5651490,5644673,5646899,2024-09-27 05:30:58,8.514
2024-09-27 05:30:58,5646899,5647328,5636744,5638268,2024-09-27 05:35:20,31.322
2024-09-27 05:35:20,5638268,5644556,5635705,5642148,2024-09-27 05:39:42,9.157
2024-09-27 05:39:42,5642148,5647458,5639003,5639003,2024-09-27 05:44:04,9.749
2024-09-27 05:44:04,5639150,5652928,5639150,5651854,2024-09-27 05:50:38,7.096
2024-09-27 05:50:38,5651681,5652738,5647871,5648390,2024-09-27 05:55:00,10.873
2024-09-27 05:55:00,5648104,5660532,5646329,5658626,2024-09-27 05:59:22,16.321
2024-09-27 05:59:22,5658626,5665563,5656738,5662264,2024-09-27 06:05:55,26.308
2024-09-27 06:05:55,5661675,5671088,5661675,5665537,2024-09-27 06:10:17,18.388
2024-09-27 06:10:17,5665364,5672006,5661034,5670551,2024-09-27 06:14:39,22.79
2024-09-27 06:14:39,5669512,5672396,5664506,5672257,2024-09-27 06:19:02,80.577
2024-09-27 06:19:02,5671538,5672413,5660410,5661519,2024-09-27 06:25:35,30.296
2024-09-27 06:25:35,5662264,5671616,5658955,5668819,2024-09-27 06:29:57,38.468
2024-09-27 06:29:57,5669841,5671443,5663285,5671357,2024-09-27 06:34:19,24.975
2024-09-27 06:34:19,5670335,5673097,5662939,5666767,2024-09-27 06:40:52,39.179
2024-09-27 06:40:52,5666845,5670577,5650988,5657414,2024-09-27 06:45:14,28.177
2024-09-27 06:45:14,5657414,5658219,5646658,5652227,2024-09-27 06:49:37,21.238
2024-09-27 06:49:37,5651508,5658453,5648737,5658453,2024-09-27 06:53:59,16.969
2024-09-27 06:53:59,5659085,5659666,5655310,5656548,2024-09-27 07:00:32,10.981
2024-09-27 07:00:32,5656548,5661051,5656548,5659302,2024-09-27 07:04:54,12.286
2024-09-27 07:04:54,5659285,5659666,5649966,5651369,2024-09-27 07:09:16,7.254
2024-09-27 07:09:16,5650295,5662956,5650295,5662264,2024-09-27 07:15:49,5.629
2024-09-27 07:15:49,5663130,5668499,5659995,5667815,2024-09-27 07:20:12,11.44
2024-09-27 07:20:12,5667182,5670759,5662073,5664671,2024-09-27 07:24:34,15.322
2024-09-27 07:24:34,5665217,5676111,5663805,5672370,2024-09-27 07:28:56,26.231
2024-09-27 07:28:56,5672370,5674388,5664991,5664991,2024-09-27 07:35:29,12.969
2024-09-27 07:35:29,5664888,5665901,5659449,5660497,2024-09-27 07:39:51,11.805
2024-09-27 07:39:51,5660436,5665554,5659475,5662593,2024-09-27 07:44:13,7.51
2024-09-27 07:44:13,5662593,5669884,5662593,5667104,2024-09-27 07:50:47,15.553
2024-09-27 07:50:47,5666057,5669824,5665883,5668845,2024-09-27 07:55:09,11.737
